participant,ibex_ident,list,bloque,presentation,item_number,condition,rating,rt,grammaticality,control,distractor,zscore,binary_accuracy
3,32,l1,b1,23,34,D,1,5627,ungrammatical,subject,mismatch,-0.916216134834275,1
3,34,l1,b1,25,39,B,6,8088,grammatical,subject,mismatch,1.03837828614551,1
3,36,l1,b1,27,89,F,1,15894,grammatical,object,mismatch,-0.916216134834275,0
3,38,l1,b1,29,74,H,1,5749,ungrammatical,object,mismatch,-0.916216134834275,1
3,40,l1,b1,31,13,D,1,8104,ungrammatical,subject,mismatch,-0.916216134834275,1
3,43,l1,b1,34,76,G,2,10001,ungrammatical,object,match,-0.525297250638318,1
3,45,l1,b1,36,24,A,6,16138,grammatical,subject,match,1.03837828614551,1
3,47,l1,b1,38,17,C,2,6999,ungrammatical,subject,match,-0.525297250638318,1
3,49,l1,b1,40,71,F,7,6032,grammatical,object,mismatch,1.42929717034147,1
3,51,l1,b1,42,58,G,1,11453,ungrammatical,object,match,-0.916216134834275,1
3,53,l1,b1,44,85,E,6,12783,grammatical,object,match,1.03837828614551,1
3,54,l1,b1,45,19,B,7,5641,grammatical,subject,mismatch,1.42929717034147,1
3,56,l1,b1,47,92,E,7,4737,grammatical,object,match,1.42929717034147,1
3,59,l1,b2,50,14,D,1,5380,ungrammatical,subject,mismatch,-0.916216134834275,1
3,61,l1,b2,52,22,A,6,7133,grammatical,subject,match,1.03837828614551,1
3,62,l1,b2,53,94,H,1,9425,ungrammatical,object,mismatch,-0.916216134834275,1
3,64,l1,b2,55,80,F,7,8105,grammatical,object,mismatch,1.42929717034147,1
3,66,l1,b2,57,64,H,1,4947,ungrammatical,object,mismatch,-0.916216134834275,1
3,68,l1,b2,59,91,F,7,4051,grammatical,object,mismatch,1.42929717034147,1
3,70,l1,b2,61,20,B,7,3958,grammatical,subject,mismatch,1.42929717034147,1
3,72,l1,b2,63,7,C,1,6175,ungrammatical,subject,match,-0.916216134834275,1
3,74,l1,b2,65,5,D,1,3302,ungrammatical,subject,mismatch,-0.916216134834275,1
3,76,l1,b2,67,27,C,1,4545,ungrammatical,subject,match,-0.916216134834275,1
3,78,l1,b2,69,69,E,6,9550,grammatical,object,match,1.03837828614551,1
3,80,l1,b2,71,51,G,1,12738,ungrammatical,object,match,-0.916216134834275,1
3,82,l1,b2,73,12,B,6,6873,grammatical,subject,mismatch,1.03837828614551,1
3,84,l1,b2,75,59,G,1,6220,ungrammatical,object,match,-0.916216134834275,1
3,86,l1,b2,77,62,E,2,6940,grammatical,object,match,-0.525297250638318,0
3,89,l1,b2,80,73,F,5,6687,grammatical,object,mismatch,0.647459401949555,1
3,90,l1,b2,81,1,A,7,4699,grammatical,subject,match,1.42929717034147,1
3,92,l1,b2,83,77,G,1,12923,ungrammatical,object,match,-0.916216134834275,1
3,94,l1,b2,85,84,H,1,3276,ungrammatical,object,mismatch,-0.916216134834275,1
3,96,l1,b2,87,33,A,7,4904,grammatical,subject,match,1.42929717034147,1
3,98,l1,b2,89,4,D,1,3624,ungrammatical,subject,mismatch,-0.916216134834275,1
3,100,l1,b2,91,47,C,1,4086,ungrammatical,subject,match,-0.916216134834275,1
3,103,l1,b2,94,30,B,5,5698,grammatical,subject,mismatch,0.647459401949555,1
3,104,l1,b2,95,90,E,7,5534,grammatical,object,match,1.42929717034147,1
3,106,l1,b3,97,43,D,1,4152,ungrammatical,subject,mismatch,-0.916216134834275,1
3,108,l1,b3,99,65,H,1,6048,ungrammatical,object,mismatch,-0.916216134834275,1
3,109,l1,b3,100,2,A,7,2976,grammatical,subject,match,1.42929717034147,1
3,112,l1,b3,103,61,G,1,4233,ungrammatical,object,match,-0.916216134834275,1
3,114,l1,b3,105,21,B,2,11454,grammatical,subject,mismatch,-0.525297250638318,0
3,116,l1,b3,107,8,C,1,5187,ungrammatical,subject,match,-0.916216134834275,1
3,118,l1,b3,109,78,F,7,4858,grammatical,object,mismatch,1.42929717034147,1
3,120,l1,b3,111,35,D,1,3781,ungrammatical,subject,mismatch,-0.916216134834275,1
3,122,l1,b3,113,10,B,2,6450,grammatical,subject,mismatch,-0.525297250638318,0
3,124,l1,b3,115,87,H,1,2899,ungrammatical,object,mismatch,-0.916216134834275,1
3,126,l1,b3,117,79,G,1,4506,ungrammatical,object,match,-0.916216134834275,1
3,128,l1,b3,119,18,C,1,3980,ungrammatical,subject,match,-0.916216134834275,1
3,130,l1,b3,121,40,A,7,4935,grammatical,subject,match,1.42929717034147,1
3,131,l1,b3,122,57,F,7,5273,grammatical,object,mismatch,1.42929717034147,1
3,134,l1,b3,125,52,E,5,5010,grammatical,object,match,0.647459401949555,1
3,136,l1,b3,127,37,B,5,12030,grammatical,subject,mismatch,0.647459401949555,1
3,138,l1,b3,129,95,H,1,5096,ungrammatical,object,mismatch,-0.916216134834275,1
3,140,l1,b3,131,41,A,5,5360,grammatical,subject,match,0.647459401949555,1
3,142,l1,b3,133,50,F,2,9041,grammatical,object,mismatch,-0.525297250638318,0
3,144,l1,b3,135,68,G,1,5644,ungrammatical,object,match,-0.916216134834275,1
3,146,l1,b3,137,48,C,1,3517,ungrammatical,subject,match,-0.916216134834275,1
3,149,l1,b3,140,72,E,6,4038,grammatical,object,match,1.03837828614551,1
3,150,l1,b3,141,15,D,1,3142,ungrammatical,subject,mismatch,-0.916216134834275,1
3,152,l1,b3,143,82,E,6,5115,grammatical,object,match,1.03837828614551,1
3,154,l1,b4,145,83,E,6,8968,grammatical,object,match,1.03837828614551,1
3,157,l1,b4,148,23,A,7,3723,grammatical,subject,match,1.42929717034147,1
3,159,l1,b4,150,28,B,6,5923,grammatical,subject,mismatch,1.03837828614551,1
3,161,l1,b4,152,49,H,1,4251,ungrammatical,object,mismatch,-0.916216134834275,1
3,163,l1,b4,154,9,C,1,6077,ungrammatical,subject,match,-0.916216134834275,1
3,165,l1,b4,156,93,G,1,4155,ungrammatical,object,match,-0.916216134834275,1
3,167,l1,b4,158,29,B,6,6424,grammatical,subject,mismatch,1.03837828614551,1
3,169,l1,b4,160,66,G,1,3847,ungrammatical,object,match,-0.916216134834275,1
3,171,l1,b4,162,6,D,1,3391,ungrammatical,subject,mismatch,-0.916216134834275,1
3,173,l1,b4,164,46,C,1,8097,ungrammatical,subject,match,-0.916216134834275,1
3,175,l1,b4,166,31,A,7,5303,grammatical,subject,match,1.42929717034147,1
3,176,l1,b4,167,67,H,1,2974,ungrammatical,object,mismatch,-0.916216134834275,1
3,178,l1,b4,169,36,D,1,3604,ungrammatical,subject,mismatch,-0.916216134834275,1
3,181,l1,b4,172,88,F,5,4787,grammatical,object,mismatch,0.647459401949555,1
3,182,l1,b4,173,44,D,1,4060,ungrammatical,subject,mismatch,-0.916216134834275,1
3,184,l1,b4,175,56,H,1,3975,ungrammatical,object,mismatch,-0.916216134834275,1
3,186,l1,b4,177,53,E,7,4416,grammatical,object,match,1.42929717034147,1
3,188,l1,b4,179,25,C,1,3346,ungrammatical,subject,match,-0.916216134834275,1
3,190,l1,b4,181,70,F,6,4050,grammatical,object,mismatch,1.03837828614551,1
3,192,l1,b4,183,86,G,1,4654,ungrammatical,object,match,-0.916216134834275,1
3,194,l1,b4,185,60,F,5,6978,grammatical,object,mismatch,0.647459401949555,1
3,196,l1,b4,187,3,A,3,5874,grammatical,subject,match,-0.13437836644236,0
3,199,l1,b4,190,75,E,6,6486,grammatical,object,match,1.03837828614551,1
3,200,l1,b4,191,38,B,7,4287,grammatical,subject,mismatch,1.42929717034147,1
4,11,l1,b1,2,42,A,7,13758,grammatical,subject,match,0.974264941825758,1
4,12,l1,b1,3,81,H,1,4302,ungrammatical,object,mismatch,-1.01572302445664,1
4,14,l1,b1,5,96,G,1,5612,ungrammatical,object,match,-1.01572302445664,1
4,16,l1,b1,7,16,C,1,12189,ungrammatical,subject,match,-1.01572302445664,1
4,18,l1,b1,9,32,A,7,9017,grammatical,subject,match,0.974264941825758,1
4,20,l1,b1,11,45,D,1,4503,ungrammatical,subject,mismatch,-1.01572302445664,1
4,21,l1,b1,12,63,F,7,5916,grammatical,object,mismatch,0.974264941825758,1
